Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
n0bj0cky,knob,,,2.4
n1gga,nigger,,,2.4
mofo ass,motherfucker,ass,,2.4
motha fucker,motherfucker,,,2.4
mofukkas,motherfucker,,,2.4
mofucckers,motherfucker,,,2.4
mofuckkas,motherfucker,,,2.4
mofuccers,motherfucker,,,2.4
m0f0s,motherfucker,,,2.4
m0therfucker,motherfucker,,,2.4
ladyb0y,ladyboy,,,2.4
ladyboys,ladyboy,,,2.4
jizz eater,jizz,,,2.4
jizzbags,jizz,,,2.4
jizz licker,jizz,,,2.4
jigga,jiggaboo,nigger,,2.4
jiggabooboo,jiggaboo,,,2.4
jigaboo,jiggaboo,,,2.4
injun,injun,,,2.4
get fucked,fuck,,,2.4
fvcker,fuck,,,2.4
fuckshitface,fuck,shit,,2.4
fudgepacker,fudge packer,,,2.4
fuckshit,fuck,shit,,2.4
fucknuckle,fuck,,,2.4
fucs,fuck,,,2.4
fuck arse,fuck,arse,,2.4
fuck head,fuck,,,2.4
fucking A,fuck,,,2.4
fuckass,fuck,ass,,2.4
fuck face,fuck,,,2.4
fuck you,fuck,,,2.4
fuckasses,fuck,ass,,2.4
fuckers,fuck,,,2.4
fuck your,fuck,,,2.4
fuck y0u,fuck,,,2.4
fucking bastard,fuck,bastard,,2.4
fck,fuck,,,2.4
f0cker,fuck,,,2.4
feg,faggot,,,2.4
fcuker,fuck,,,2.4
fker,fuck,,,2.4
dumbass mofoes,ass,motherfucker,,2.4
dick nibbler,dick,,,2.4
dick smoker,dick,,,2.4
darkfuck,fuck,darky,,2.4
dirty sanchez,dirty sanchez,,,2.4
dick licker,dick,,,2.4
cockheads,cock,,,2.4
cockboy,cock,,,2.4
cocksucking,cock,,,2.4
cocksuckas,cock,,,2.4
cockh3ad,cock,,,2.4
cuntelope,cunt,,,2.4
cumball,cum,,,2.4
cooni3s,coon,,,2.4
cooterpuffing,coot,,,2.4
cuntlicker,cunt,,,2.4
cuksuker,cock,,,2.4
cyberfcks,fuck,,,2.4
clusterfucker,fuck,,,2.4
cock-gobbler,cock,,,2.4
cock rider,cock,,,2.4
cock jockey,cock,,,2.4
cock droplets,cock,,,2.4
chocha,chocha,,,2.4
cawk muncher,cock,,,2.4
carpet muncher,carpet muncher,,,2.4
cock sucker,cock,,,2.4
blumpkin boy,blumpkin,,,2.4
bitchfuck,fuck,bitch,,2.4
blacky,blacky,,,2.4
bitchhole,bitch,,,2.4
assfuckerz,fuck,ass,,2.4
assfukah,fuck,ass,,2.4
arse-shagger,arse,,,2.4
@ssfvcker,fuck,ass,,2.4
anal hore,anal,,,2.4
suck my dick,dick,,,2.2
what the fuck,fuck,,,2.2
wophead,wop,,,2.2
suck my cock,cock,,,2.2
shittasticfuck,fuck,shit,,2.2
shitfvck,shit,fuck,,2.2
shitsfuck,fuck,shit,,2.2
shitfuck,fuck,shit,,2.2
shut the fuck up,fuck,,,2.2
shittyfuckface,fuck,shit,,2.2
sambo,sambo,,,2.2
shiesterfuckhead,fuck,shit,,2.2
shiesterfuck,fuck,shit,,2.2
prick-gobbler,prick,,,2.2
polesmoker,polesmoker,,,2.2
redskin,redskin,,,2.2
pusslicker,pussy,,,2.2
pole licker,pole licker,,,2.2
phucker,fuck,,,2.2
phuku,fuck,,,2.2
phukshit,fuck,shit,,2.2
phukings,fuck,,,2.2
phukker,fuck,,,2.2
phuq,fuck,,,2.2
phuck,fuck,,,2.2
phuked,fuck,,,2.2
phuking,fuck,,,2.2
phuks,fuck,,,2.2
phuccer,fuck,,,2.2
phvckings,fuck,,,2.2
niggaz,nigger,,,2.2
nob jockey,knob,,,2.2
pedo,pedophile,,,2.2
pedophl,pedophile,,,2.2
packerfudgehead,fudge packer,,,2.2
pedobears,pedophile,,,2.2
niggahs,nigger,,,2.2
mudderfuk,motherfucker,,,2.2
muffdivings,muff,,,2.2
motherfvckeds,motherfucker,,,2.2
mothercker,motherfucker,,,2.2
mofuk,motherfucker,,,2.2
mof0es,motherfucker,,,2.2
mindfuck,motherfucker,,,2.2
mother effer,motherfucker,,,2.2
mofoshit,motherfucker,shit,,2.2
molester,molest,,,2.2
mongoloid,mongoloid,,,2.2
ladyb0i,ladyboy,,,2.2
mfs,motherfucker,,,2.2
lesbo,lesbian,,,2.2
mf'ing,motherfucker,,,2.2
mfckers,motherfucker,,,2.2
m0ngoloid,mongoloid,,,2.2
m0ng0l0id,mongoloid,,,2.2
m0foes,motherfucker,,,2.2
ladyboy,ladyboy,,,2.2
mf'er,motherfucker,,,2.2
knob eater,knob,,,2.2
jizz-jockey,jizz,,,2.2
kitty puncher,kitty puncher,,,2.2
knobender,knob,,,2.2
jizzes,jizz,,,2.2
l@dyb0i,ladyboy,,,2.2
ladiboy,ladyboy,,,2.2
knobjocky,knob,,,2.2
homos,homosexual,,,2.2
heeb,hebe,,,2.2
homo,homosexual,,,2.2
hoe-asses,hoe,ass,,2.2
fvck you,fuck,,,2.2
fvckker bunny,fuck,,,2.2
goddamn son of a bitch,damn,bitch,,2.2
god damnit,damn,,,2.2
fxcking,fuck,,,2.2
fvckwhi,fuck,,,2.2
fvckbunny,fuck,,,2.2
gaylords,gay,,,2.2
fxcker,fuck,,,2.2
fvckers,fuck,,,2.2
fukka,fuck,,,2.2
fucx,fuck,,,2.2
fudgepackers,fudge packer,,,2.2
fuckwad,fuck,,,2.2
fukwit,fuck,,,2.2
fukkuh,fuck,,,2.2
fucking me,fuck,,,2.2
fuk1ng,fuck,,,2.2
fuckstar,fuck,,,2.2
fukin,fuck,,,2.2
fuckstick,fuck,,,2.2
fuckk,fuck,,,2.2
fuckster,fuck,,,2.2
fux,fuck,,,2.2
fuks,fuck,,,2.2
fucked up,fuck,,,2.2
fuccers,fuck,,,2.2
fuckface,fuck,,,2.2
fuckhead,fuck,,,2.2
fuckfaces,fuck,,,2.2
fucker,fuck,,,2.2
fuck faces,fuck,,,2.2
fuckem,fuck,,,2.2
fuker,fuck,,,2.2
fucka,fuck,,,2.2
fucking,fuck,,,2.2
fuck goblin,fuck,,,2.2
fuckaz,fuck,ass,,2.2
fckk,fuck,,,2.2
f_u_c_k,fuck,,,2.2
f@cker bunny,fuck,,,2.2
fkker,fuck,,,2.2
f0ckers,fuck,,,2.2
fckking,fuck,,,2.2
fcukers,fuck,,,2.2
fecker,fuck,,,2.2
fcvking,fuck,,,2.2
feck arse,arse,,,2.2
fcuks,fuck,,,2.2
fart-fucker,fuck,,,2.2
fckahz,fuck,,,2.2
fcuked,fuck,,,2.2
fcker,fuck,,,2.2
fcukker,fuck,,,2.2
fcking,fuck,,,2.2
fcuking,fuck,,,2.2
fck you,fuck,,,2.2
fking,fuck,,,2.2
dumbfucks,fuck,,,2.2
dicksucker,dick,,,2.2
double dicking,dick,,,2.2
dago,dago,,,2.2
dickjockies,dick,,,2.2
dafuq,fuck,,,2.2
dicklicker,dick,,,2.2
dick milker,dick,,,2.2
dick sucker,dick,,,2.2
cocksuccas,cock,,,2.2
cokmuncher,cock,,,2.2
cockmonger,cock,,,2.2
cocklicker,cock,,,2.2
cocksuccer,cock,,,2.2
cocksuck,cock,,,2.2
cocksmoker,cock,,,2.2
cockeater,cock,,,2.2
cockmunch,cock,,,2.2
cockshit,cock,shit,,2.2
cocksucker,cock,,,2.2
cocksuccers,cock,,,2.2
cocksuckers,cock,,,2.2
cocksukka,cock,,,2.2
creampie,creampie,,,2.2
cocksucks,cock,,,2.2
cyberfukks,fuck,,,2.2
cyberfucks,fuck,,,2.2
cyberfck,fuck,,,2.2
cuksukka,cock,,,2.2
cuntbollock,cunt,,,2.2
crotch fiddler,crotch,,,2.2
cyberfvcks,fuck,,,2.2
cyberfuccs,fuck,,,2.2
butt fuck,fuck,butt,,2.2
cock-face,cock,,,2.2
cock snot,cock,,,2.2
cock smoker,cock,,,2.2
c0cksucker,cock,,,2.2
china-virus,china virus,,,2.2
cawkmuncher,cock,,,2.2
butt pirate,butt,,,2.2
c0cksuckers,cock,,,2.2
clusterfucked,fuck,,,2.2
carpetmunchers,carpet muncher,,,2.2
butt-fucker,fuck,butt,,2.2
buttfuck,fuck,butt,,2.2
cock sucking,cock,,,2.2
bean queen,bean queen,,,2.2
bitchtits,bitch,,,2.2
assmuncher,ass,,,2.2
