Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
motherfacking,motherfucker,,,2.4
mutha fucker,motherfucker,,,2.4
mofo ass,motherfucker,ass,,2.4
motha fucker,motherfucker,,,2.4
mofukkas,motherfucker,,,2.4
mofucckers,motherfucker,,,2.4
mofuckkas,motherfucker,,,2.4
mofuccers,motherfucker,,,2.4
m0therfucker,motherfucker,,,2.4
mudderfuk,motherfucker,,,2.2
motherfvckeds,motherfucker,,,2.2
mothercker,motherfucker,,,2.2
mof0es,motherfucker,,,2.2
mindfuck,motherfucker,,,2.2
mofoshit,motherfucker,shit,,2.2
mfs,motherfucker,,,2.2
mf'ing,motherfucker,,,2.2
mfckers,motherfucker,,,2.2
mofo,motherfucker,,,2.0
m0f0,motherfucker,,,2.0
mofos,motherfucker,,,2.0
mfing,motherfucker,,,1.8
fothermuckers,motherfucker,,,1.8
mfk,motherfucker,,,1.6
mofos,motherfucker,,,1.4
negr0,negro,,,2.8
kneegrows,negro,,,2.8
negroid,negro,,,2.6
negroes,negro,,,2.6
n3gro,negro,,,2.4
negro,negro,,,2.0
nigger,nigger,,,3.0
nigger,nigger,,,3.0
nikk3r,nigger,,,3.0
niggers,nigger,,,3.0
nigguhz,nigger,,,3.0
nigg3r,nigger,,,3.0
nikkas,nigger,,,3.0
niglet,nigger,,,3.0
nigers,nigger,,,3.0
nigre,nigger,nigga,,3.0
nignigs,nigger,,,3.0
nigguhs,nigger,,,3.0
nigger,nigger,,,3.0
niggir,nigger,,,3.0
nigga,nigger,,,3.0
nigg3rs,nigger,,,3.0
nigg4h,nigger,,,3.0
niggahz,nigger,,,3.0
nigasses,nigger,ass,,3.0
niggerz,nigger,,,3.0
niggress,nigger,,,3.0
n1g3r,nigger,,,3.0
n1gg3rs,nigger,,,3.0
